ActionString,Action_ActionString,Action_Address,Action_AllowPrivateIP,Action_Command,Action_CommandParts_0,Action_CommandParts_1,Action_HTTP_Regex,Action_HasAdvancedOptions,Action_IsAll,Action_IsMonitorable,Action_LarArgument,Action_MAILFLOW_IP,Action_RawString,Action_SMTP_Port,Action_SpecialServer,Action_TCP_Port,Action_Threshold,CurrentStatus,DomainSubscription,ExpirationInHours,ExpiresIn,Failing,Failing_BlacklistReasonCode,Failing_BlacklistReasonDescription,Failing_DelistUrl,Failing_ID,Failing_Info,Failing_IsExcludedByUser,Failing_Name,Failing_PublicDescription,Failing_Url,FrequencyInMinutes,HistoryUrl,IsActive,LarId,LarUID,LastChecked,LastTransition,MonitorUID,MxRep,Name,Policies_AlertGroupId,Policies_Description,Policies_EndPoints,Policies_Id,Policies_IsEnabled,Policies_IsSendToAllTagsEnabled,Policies_NumMinutesToDelay,Policies_NumMinutesToRepeat,Policies_PolicyFilters,Policies_PolicyUID,Policies_SortOrder,Policies_StackedNotificationFrequency,Policies_TagMaps,Policies_TagNames,Policies_Title,Policies_Url,RecordCount,StatusSummary,Tags,Tags_BackgroundColor,Tags_Color,Tags_DisplayName,Tags_IsHidden,Tags_IsNegative,Tags_MonitorCount,Tags_Name,Tags_UID,TimeElapsed,Warnings
blacklist:185.3.132.94,blacklist:185.3.132.94,185.3.132.94,False,blacklist,blacklist,185.3.132.94,,False,False,True,185.3.132.94,,blacklist:185.3.132.94,25,,0,10,0,,0,,[],,,,,,,,,,60,https://api.mxtoolbox.com/api/v1/history/000cb576-9451-418b-81e2-17b1649d2fea/,False,11740294,182befb3-f1a2-4870-a5b9-93924dbf8aa2,2018-11-29T12:34:57.803,2018-11-29T12:34:57.803,000cb576-9451-418b-81e2-17b1649d2fea,100,ptr94.mdjetservice.com Blacklist,109491.0,,[],265524.0,True,True,,,[],9f68c502-a035-4d94-bca7-ec7b8d3a98e3,-1.0,,[],,Default,,40,Not Blacklisted,[],,,,,,,,,40 days,[]
blacklist:23.254.148.2,blacklist:23.254.148.2,23.254.148.2,False,blacklist,blacklist,23.254.148.2,,False,False,True,23.254.148.2,,blacklist:23.254.148.2,25,,0,10,0,,0,,[],,,,,,,,,,60,https://api.mxtoolbox.com/api/v1/history/b157f871-ac6f-4f4b-8794-f13f7543034f/,True,129485421,1ddb015f-c229-4333-a627-fd995c884b65,2018-12-06T11:33:14.097,2018-12-06T11:33:14.097,b157f871-ac6f-4f4b-8794-f13f7543034f,100,BLACKLIST - 23.254.148.2,109491.0,,[],265524.0,True,True,,,[],9f68c502-a035-4d94-bca7-ec7b8d3a98e3,-1.0,,[],,Default,,40,Not Blacklisted,,"rgb(102,102,102)","rgb(255,255,255)",sys1,False,False,0.0,sys1,80b4b7f0-a224-44e6-81e5-38e89c3a44b3,33 days,[]
blacklist:176.56.220.184,blacklist:176.56.220.184,176.56.220.184,False,blacklist,blacklist,176.56.220.184,,False,False,True,176.56.220.184,,blacklist:176.56.220.184,25,,0,10,0,,0,,[],,,,,,,,,,60,https://api.mxtoolbox.com/api/v1/history/861b7cd6-898c-4395-8af0-a740cf04f17f/,True,129485422,f9c128b9-a1b5-4b3f-b192-24a27be6c7f6,2018-11-21T15:54:53.407,2018-11-21T15:54:53.32,861b7cd6-898c-4395-8af0-a740cf04f17f,100,wkreach.net - 176.56.220.184,109491.0,,[],265524.0,True,True,,,[],9f68c502-a035-4d94-bca7-ec7b8d3a98e3,-1.0,,[],,Default,,40,Not Blacklisted,,"rgb(102,102,102)","rgb(255,255,255)",sys2,False,False,0.0,sys2,0ba467dd-b050-4012-9e51-54d8967ecb4c,48 days,[]
blacklist:176.56.220.183,blacklist:176.56.220.183,176.56.220.183,False,blacklist,blacklist,176.56.220.183,,False,False,True,176.56.220.183,,blacklist:176.56.220.183,25,,0,10,0,,0,,[],,,,,,,,,,60,https://api.mxtoolbox.com/api/v1/history/af104e65-fbf4-4ee3-9ed0-26977ac3402b/,True,129485423,c3f8f865-2853-4c84-b323-5d79bb743730,2018-12-09T17:26:40.79,2018-12-09T17:26:40.79,af104e65-fbf4-4ee3-9ed0-26977ac3402b,100,wkreach.net - 176.56.220.183,109491.0,,[],265524.0,True,True,,,[],9f68c502-a035-4d94-bca7-ec7b8d3a98e3,-1.0,,[],,Default,,40,Not Blacklisted,,"rgb(102,102,102)","rgb(255,255,255)",sys2,False,False,0.0,sys2,0ba467dd-b050-4012-9e51-54d8967ecb4c,30 days,[]
blacklist:176.56.220.182,blacklist:176.56.220.182,176.56.220.182,False,blacklist,blacklist,176.56.220.182,,False,False,True,176.56.220.182,,blacklist:176.56.220.182,25,,0,10,2,,0,,,127.0.0.2,"SBL Advisory - Direct UBE sources, spam operations, & spam services",http://www.spamhaus.org/lookup/,168.0,"<p>
	Inclusion in the Spamhaus-ZEN Blacklist results from sub-listings in one more the following Blacklists:</p>
<ul>
	<li>
		<strong>CBL</strong> - You have contracted a Virus or Malware that is operating a Botnet, either on your email server on a workstation behind the NAT - Continual delisting requests without eliminating the virus will result in permanent blacklisting;</li>
	<li>
		<strong>XBL</strong> (Spamhaus Exploits Block List) is a realtime database of IP addresses of hijacked PCs infected by illegal 3rd party exploits, including open proxies;</li>
	<li>
		<strong>PBL</strong> - Spamhaus PBL is a DNSBL database of end-user IP address ranges which should not be delivering unauthenticated SMTP email to any Internet mail server except those provided for specifically by an ISP for that customer&#39;s use.</li>
</ul>
",False,Spamhaus ZEN,,,60,https://api.mxtoolbox.com/api/v1/history/7ebbfe7a-3889-4075-9651-9beb4ec726f3/,True,129485424,2bb0eb43-5a7e-4a0d-88c8-dc6af7bc6364,2019-01-07T11:39:12.663,2019-01-07T11:39:12.663,7ebbfe7a-3889-4075-9651-9beb4ec726f3,82,WKReach.Net - 176.56.220.182,,,,,,,,,,,,,,,,,40,,,"rgb(102,102,102)","rgb(255,255,255)",sys2,False,False,0.0,sys2,0ba467dd-b050-4012-9e51-54d8967ecb4c,24 hrs,
blacklist:176.56.220.182,blacklist:176.56.220.182,176.56.220.182,False,blacklist,blacklist,176.56.220.182,,False,False,True,176.56.220.182,,blacklist:176.56.220.182,25,,0,10,2,,0,,,127.0.0.2,Spam Source,http://dnsbl.invaluement.com/lookup/,172.0,"<p>
	Listing in the ivmSIP/24 blacklists indicates that your IP Address has been identified as a spam-sending server. Whether or not you operate an email-server on this IP Address, it has either sent spam or has been previously identified as such.</p>
",False,ivmSIP,,,60,https://api.mxtoolbox.com/api/v1/history/7ebbfe7a-3889-4075-9651-9beb4ec726f3/,True,129485424,2bb0eb43-5a7e-4a0d-88c8-dc6af7bc6364,2019-01-07T11:39:12.663,2019-01-07T11:39:12.663,7ebbfe7a-3889-4075-9651-9beb4ec726f3,82,WKReach.Net - 176.56.220.182,,,,,,,,,,,,,,,,,40,,,"rgb(102,102,102)","rgb(255,255,255)",sys2,False,False,0.0,sys2,0ba467dd-b050-4012-9e51-54d8967ecb4c,24 hrs,
blacklist:176.56.220.182,blacklist:176.56.220.182,176.56.220.182,False,blacklist,blacklist,176.56.220.182,,False,False,True,176.56.220.182,,blacklist:176.56.220.182,25,,0,10,2,,0,,,127.0.0.2,"IP produces email containing spam, scams, viruses, or other malware based on statistics in the global GBUdb network",http://www.gbudb.com/truncate/how-ips-are-removed.jsp,200.0,"<p>
	If you are on the Truncate Blacklist, there could be any number of issues that need to be addressed in your network: virus-generated spam, dynamic IP Addresses previously used by spammers or bulk mail sending that does not comply with the CAN-SPAM Act.</p>
",False,TRUNCATE,,,60,https://api.mxtoolbox.com/api/v1/history/7ebbfe7a-3889-4075-9651-9beb4ec726f3/,True,129485424,2bb0eb43-5a7e-4a0d-88c8-dc6af7bc6364,2019-01-07T11:39:12.663,2019-01-07T11:39:12.663,7ebbfe7a-3889-4075-9651-9beb4ec726f3,82,WKReach.Net - 176.56.220.182,109491.0,,[],265524.0,True,True,,,[],9f68c502-a035-4d94-bca7-ec7b8d3a98e3,-1.0,,[],,Default,,40,"Spamhaus ZEN,ivmSIP,TRUNCATE",,"rgb(102,102,102)","rgb(255,255,255)",sys2,False,False,0.0,sys2,0ba467dd-b050-4012-9e51-54d8967ecb4c,24 hrs,[]
blacklist:176.56.220.175,blacklist:176.56.220.175,176.56.220.175,False,blacklist,blacklist,176.56.220.175,,False,False,True,176.56.220.175,,blacklist:176.56.220.175,25,,0,10,2,,0,,,127.0.0.2,Listed,http://www.sorbs.net/lookup.shtml,121.0,"<p>
	The SORBS (Spam and Open Relay Blocking System) provides free access to its DNS-based Block List (DNSBL) to effectively block email from over 12 million host servers known to disseminate spam, phishing attacks, and other forms of malicious email. This blacklist typically includes email servers that are suspected of sending or relaying spam, servers that have been hacked and hijacked, and servers with Trojan infestations. Additionally, SORBS also lists servers with dynamically allocated IP addresses.</p>
",False,SORBS SPAM,,,60,https://api.mxtoolbox.com/api/v1/history/9046ca5c-0791-4c3b-9325-e29a1c9dba11/,True,129485425,ed1ef2af-2154-4137-9555-2a08b705e8d2,2019-01-02T16:09:03.43,2019-01-02T16:09:03.43,9046ca5c-0791-4c3b-9325-e29a1c9dba11,92,GetWhoKnows.Net- 176.56.220.175,109491.0,,[],265524.0,True,True,,,[],9f68c502-a035-4d94-bca7-ec7b8d3a98e3,-1.0,,[],,Default,,40,SORBS SPAM,[],,,,,,,,,6 days,[]
blacklist:176.56.220.107,blacklist:176.56.220.107,176.56.220.107,False,blacklist,blacklist,176.56.220.107,,False,False,True,176.56.220.107,,blacklist:176.56.220.107,25,,0,10,0,,0,,[],,,,,,,,,,60,https://api.mxtoolbox.com/api/v1/history/c9f3a6c6-99c9-4c8b-aaba-a37ec7a32d49/,True,129485426,011223ab-22c2-43e5-bd29-aea8a8dc9fd4,2018-12-14T13:44:20.407,2018-12-14T13:44:20.407,c9f3a6c6-99c9-4c8b-aaba-a37ec7a32d49,100,GetWhoKnows.net - 176.56.220.107,109491.0,,[],265524.0,True,True,,,[],9f68c502-a035-4d94-bca7-ec7b8d3a98e3,-1.0,,[],,Default,,40,Not Blacklisted,[],,,,,,,,,25 days,[]
blacklist:70.39.89.25,blacklist:70.39.89.25,70.39.89.25,False,blacklist,blacklist,70.39.89.25,,False,False,True,70.39.89.25,,blacklist:70.39.89.25,25,,0,10,2,,0,,,127.0.0.2,Listed,http://barracudacentral.org/rbl/removal-request,174.0,"<p>
	Listing in the Barracuda Blacklist could indicate any number of issues that need to be addressed in your network including but not limited to: virus-generated spam, poor server configuration, dynamic IP Addresses previously used by spammers, bulk mail sending that does not comply with the CAN-SPAM Act.</p>
",False,BARRACUDA,,,60,https://api.mxtoolbox.com/api/v1/history/4e7c064a-bd33-43fe-a570-be53605864c6/,True,129485427,f6247766-b3cd-4f38-a3a5-bbb024eb3105,2019-01-04T11:54:49.737,2019-01-04T11:54:49.737,4e7c064a-bd33-43fe-a570-be53605864c6,100,BLACKLIST - 70.39.89.25 (removal req 12-19),109491.0,,[],265524.0,True,True,,,[],9f68c502-a035-4d94-bca7-ec7b8d3a98e3,-1.0,,[],,Default,,40,BARRACUDA,[],,,,,,,,,4 days,[]
blacklist:70.39.89.23,blacklist:70.39.89.23,70.39.89.23,False,blacklist,blacklist,70.39.89.23,,False,False,True,70.39.89.23,,blacklist:70.39.89.23,25,,0,10,2,,0,,,127.0.0.2,Listed,http://barracudacentral.org/rbl/removal-request,174.0,"<p>
	Listing in the Barracuda Blacklist could indicate any number of issues that need to be addressed in your network including but not limited to: virus-generated spam, poor server configuration, dynamic IP Addresses previously used by spammers, bulk mail sending that does not comply with the CAN-SPAM Act.</p>
",False,BARRACUDA,,,60,https://api.mxtoolbox.com/api/v1/history/b9911bbe-6607-4c9f-bd43-f9183ad31b28/,True,129485428,ca7518e3-f0e0-4b81-9c88-089b8028aa6b,2019-01-04T11:02:25.467,2019-01-04T11:02:25.467,b9911bbe-6607-4c9f-bd43-f9183ad31b28,92,WK: sendwk.net - 70.39.89.23,109491.0,,[],265524.0,True,True,,,[],9f68c502-a035-4d94-bca7-ec7b8d3a98e3,-1.0,,[],,Default,,40,BARRACUDA,[],,,,,,,,,4 days,[]
