MonitorUID,ActionString,Action_RawString,Action_Command,Action_Address,Action_Threshold,Action_AllowPrivateIP,Action_SpecialServer,Action_IsAll,Action_HTTP_Regex,Action_TCP_Port,Action_SMTP_Port,Action_MAILFLOW_IP,Action_ActionString,Action_LarArgument,Action_HasAdvancedOptions,Action_IsMonitorable,LastTransition,LastChecked,MxRep,HistoryUrl,Name,TimeElapsed,RecordCount,LarUID,LarId,FrequencyInMinutes,CurrentStatus,ExpiresIn,ExpirationInHours,IsActive,DomainSubscription,Policies_Id,Policies_AlertGroupId,Policies_PolicyUID,Policies_IsEnabled,Policies_Title,Policies_Url,Policies_Description,Policies_NumMinutesToRepeat,Policies_NumMinutesToDelay,Policies_SortOrder,Policies_StackedNotificationFrequency,Policies_IsSendToAllTagsEnabled,Policies_TagNames,StatusSummary,Failing_ID,Failing_Name,Failing_Info,Failing_Url,Failing_PublicDescription,Failing_BlacklistReasonCode,Failing_BlacklistReasonDescription,Failing_DelistUrl,Failing_IsExcludedByUser,Tags_Name,Tags_UID,Tags_IsHidden,Tags_IsNegative,Tags_MonitorCount,Tags_Color,Tags_BackgroundColor,Tags_DisplayName
9684bdc1-deca-4b98-a011-fe3b9704cb47,blacklist:whowknows.com,blacklist:whowknows.com,blacklist,whowknows.com,10,False,,False,,0,25,,blacklist:whowknows.com,whowknows.com,False,True,2018-12-07T15:11:16.513,2018-12-07T15:11:16.543,100,https://api.mxtoolbox.com/api/v1/history/9684bdc1-deca-4b98-a011-fe3b9704cb47/,blacklist:whowknows.com,13 days,31,5f89a957-4fca-4604-b581-8cb76b3e7214,129538285,60,0,,0,True,,265524,109491,9f68c502-a035-4d94-bca7-ec7b8d3a98e3,True,Default,,,,,-1,,True,,Not Blacklisted,,,,,,,,,,,,,,,,,
febc9220-2c50-4eae-a55d-3bea0cffb3c3,blacklist:wk2send.com,blacklist:wk2send.com,blacklist,wk2send.com,10,False,,False,,0,25,,blacklist:wk2send.com,wk2send.com,False,True,2018-12-11T00:35:26.417,2018-12-11T00:35:26.417,100,https://api.mxtoolbox.com/api/v1/history/febc9220-2c50-4eae-a55d-3bea0cffb3c3/,blacklist:wk2send.com,9 days,31,d840e0ec-bc3e-49d3-9c35-9938a1592b9b,129485458,60,0,,0,True,,265524,109491,9f68c502-a035-4d94-bca7-ec7b8d3a98e3,True,Default,,,,,-1,,True,,Not Blacklisted,,,,,,,,,,,,,,,,,
c8e795d1-f442-4b1e-b44f-8b63f8e9f4d4,blacklist:whoknowsrecruit.com,blacklist:whoknowsrecruit.com,blacklist,whoknowsrecruit.com,10,False,,False,,0,25,,blacklist:whoknowsrecruit.com,whoknowsrecruit.com,False,True,2018-11-21T15:55:39.263,2018-11-21T15:55:39.327,100,https://api.mxtoolbox.com/api/v1/history/c8e795d1-f442-4b1e-b44f-8b63f8e9f4d4/,blacklist:whoknowsrecruit.com,29 days,31,e3fccd6f-544c-4ae9-a8d3-2a894eeb8d34,129485456,60,0,,0,True,,265524,109491,9f68c502-a035-4d94-bca7-ec7b8d3a98e3,True,Default,,,,,-1,,True,,Not Blacklisted,,,,,,,,,,,,,,,,,
e36b1582-2393-4d82-b0fe-23549ad90629,blacklist:whoknowsrecruiting.net,blacklist:whoknowsrecruiting.net,blacklist,whoknowsrecruiting.net,10,False,,False,,0,25,,blacklist:whoknowsrecruiting.net,whoknowsrecruiting.net,False,True,2018-11-21T15:55:36.493,2018-11-21T15:55:36.557,100,https://api.mxtoolbox.com/api/v1/history/e36b1582-2393-4d82-b0fe-23549ad90629/,blacklist:whoknowsrecruiting.net,29 days,31,2ad8a7d8-de0a-4aaa-b94a-fd5d677478e4,129485454,60,0,,0,True,,265524,109491,9f68c502-a035-4d94-bca7-ec7b8d3a98e3,True,Default,,,,,-1,,True,,Not Blacklisted,,,,,,,,,,,,,,,,,
402d4c29-09bd-4c43-b851-3458f358c4bd,blacklist:whoknowsrecruit.net,blacklist:whoknowsrecruit.net,blacklist,whoknowsrecruit.net,10,False,,False,,0,25,,blacklist:whoknowsrecruit.net,whoknowsrecruit.net,False,True,2018-11-21T15:55:33.727,2018-11-21T15:55:33.787,100,https://api.mxtoolbox.com/api/v1/history/402d4c29-09bd-4c43-b851-3458f358c4bd/,blacklist:whoknowsrecruit.net,29 days,31,b558a8b1-30fb-4c0d-b191-4064116616c1,129485452,60,0,,0,True,,265524,109491,9f68c502-a035-4d94-bca7-ec7b8d3a98e3,True,Default,,,,,-1,,True,,Not Blacklisted,,,,,,,,,,,,,,,,,
2203abcf-5f86-4e15-9c66-fe4754c54f4b,blacklist:wksend.net,blacklist:wksend.net,blacklist,wksend.net,10,False,,False,,0,25,,blacklist:wksend.net,wksend.net,False,True,2018-11-21T15:55:30.91,2018-11-21T15:55:30.973,100,https://api.mxtoolbox.com/api/v1/history/2203abcf-5f86-4e15-9c66-fe4754c54f4b/,blacklist:wksend.net,29 days,31,a5fbe098-e83c-442a-aa3f-33cc7ce8f693,129485450,60,0,,0,True,,265524,109491,9f68c502-a035-4d94-bca7-ec7b8d3a98e3,True,Default,,,,,-1,,True,,Not Blacklisted,,,,,,,,,,,,,,,,,
134ac430-5c39-4bf9-8440-dc37347f1889,blacklist:sendwk.net,blacklist:sendwk.net,blacklist,sendwk.net,10,False,,False,,0,25,,blacklist:sendwk.net,sendwk.net,False,True,2018-11-21T15:55:27.703,2018-11-21T15:55:27.767,100,https://api.mxtoolbox.com/api/v1/history/134ac430-5c39-4bf9-8440-dc37347f1889/,blacklist:sendwk.net,29 days,31,c3b3a296-2870-438d-bd90-3536b2aec265,129485448,60,0,,0,True,,265524,109491,9f68c502-a035-4d94-bca7-ec7b8d3a98e3,True,Default,,,,,-1,,True,,Not Blacklisted,,,,,,,,,,,,,,,,,
91fba7ad-7d50-4d84-b70c-be2576276b35,blacklist:wkjobs.net,blacklist:wkjobs.net,blacklist,wkjobs.net,10,False,,False,,0,25,,blacklist:wkjobs.net,wkjobs.net,False,True,2018-11-21T15:55:24.793,2018-11-21T15:55:24.873,100,https://api.mxtoolbox.com/api/v1/history/91fba7ad-7d50-4d84-b70c-be2576276b35/,blacklist:wkjobs.net,29 days,31,1e952e8e-85ae-467d-8fd8-a8f563ec119d,129485446,60,0,,0,True,,265524,109491,9f68c502-a035-4d94-bca7-ec7b8d3a98e3,True,Default,,,,,-1,,True,,Not Blacklisted,,,,,,,,,,,,,,,,,
e1e40f67-e950-49fb-81ef-20ee3d714391,blacklist:70.39.89.27,blacklist:70.39.89.27,blacklist,70.39.89.27,10,False,,False,,0,25,,blacklist:70.39.89.27,70.39.89.27,False,True,2018-12-12T13:31:55.967,2018-12-12T13:31:55.967,100,https://api.mxtoolbox.com/api/v1/history/e1e40f67-e950-49fb-81ef-20ee3d714391/,BLACKLIST - 70.39.89.27,8 days,31,7c48d36f-829e-4074-9723-ee34931c3402,129485444,60,2,,0,True,,265524,109491,9f68c502-a035-4d94-bca7-ec7b8d3a98e3,True,Default,,,,,-1,,True,,BARRACUDA,174,BARRACUDA,"<p>
	Listing in the Barracuda Blacklist could indicate any number of issues that need to be addressed in your network including but not limited to: virus-generated spam, poor server configuration, dynamic IP Addresses previously used by spammers, bulk mail sending that does not comply with the CAN-SPAM Act.</p>
",,,127.0.0.2,Listed,http://barracudacentral.org/rbl/removal-request,False,,,,,,,,
1d3bb982-7e67-4c30-8a39-57fd6c5aa33a,blacklist:206.212.244.50,blacklist:206.212.244.50,blacklist,206.212.244.50,10,False,,False,,0,25,,blacklist:206.212.244.50,206.212.244.50,False,True,2018-11-21T15:55:22.177,2018-11-21T15:55:22.277,100,https://api.mxtoolbox.com/api/v1/history/1d3bb982-7e67-4c30-8a39-57fd6c5aa33a/,BLACKLIST - 206.212.244.50,29 days,31,63045069-3682-4801-a7db-1ce566d49858,129485443,60,0,,0,True,,265524,109491,9f68c502-a035-4d94-bca7-ec7b8d3a98e3,True,Default,,,,,-1,,True,,Not Blacklisted,,,,,,,,,,,,,,,,,
4addf86b-2adc-4cd2-b5bc-a0fcc54992d7,blacklist:getwhoknows.net,blacklist:getwhoknows.net,blacklist,getwhoknows.net,10,False,,False,,0,25,,blacklist:getwhoknows.net,getwhoknows.net,False,True,2018-11-21T15:55:21.68,2018-11-21T15:55:21.743,100,https://api.mxtoolbox.com/api/v1/history/4addf86b-2adc-4cd2-b5bc-a0fcc54992d7/,domain: getwhoknows.net,29 days,31,d97f2386-d32a-4350-8bea-d2009f742d2a,129485442,60,0,,0,True,,265524,109491,9f68c502-a035-4d94-bca7-ec7b8d3a98e3,True,Default,,,,,-1,,True,,Not Blacklisted,,,,,,,,,,,,,,,,,
a0939fd2-b4b5-4d59-9024-72ccd90b3dcd,blacklist:70.39.89.29,blacklist:70.39.89.29,blacklist,70.39.89.29,10,False,,False,,0,25,,blacklist:70.39.89.29,70.39.89.29,False,True,2018-11-26T14:00:38.85,2018-11-26T14:00:38.85,92,https://api.mxtoolbox.com/api/v1/history/a0939fd2-b4b5-4d59-9024-72ccd90b3dcd/,BLACKLIST - 70.39.89.29,24 days,31,c26b66a0-784b-41b1-8d4a-bd384f6a1ad5,129485441,60,2,,0,True,,265524,109491,9f68c502-a035-4d94-bca7-ec7b8d3a98e3,True,Default,,,,,-1,,True,,BARRACUDA,174,BARRACUDA,"<p>
	Listing in the Barracuda Blacklist could indicate any number of issues that need to be addressed in your network including but not limited to: virus-generated spam, poor server configuration, dynamic IP Addresses previously used by spammers, bulk mail sending that does not comply with the CAN-SPAM Act.</p>
",,,127.0.0.2,Listed,http://barracudacentral.org/rbl/removal-request,False,,,,,,,,
6c5fcaa0-ea3d-4627-92a8-ab243d99c4c1,blacklist:206.212.244.51,blacklist:206.212.244.51,blacklist,206.212.244.51,10,False,,False,,0,25,,blacklist:206.212.244.51,206.212.244.51,False,True,2018-11-21T15:55:20.527,2018-11-21T15:55:20.61,100,https://api.mxtoolbox.com/api/v1/history/6c5fcaa0-ea3d-4627-92a8-ab243d99c4c1/,BLACKLIST - 206.212.244.51,29 days,31,04372de5-24fc-4fe4-9aa3-dd9a8fe4e66f,129485440,60,0,,0,True,,265524,109491,9f68c502-a035-4d94-bca7-ec7b8d3a98e3,True,Default,,,,,-1,,True,,Not Blacklisted,,,,,,,,,,,,,,,,,
c89a583f-42f9-427c-8938-840ba08aa9d2,blacklist:206.212.244.52,blacklist:206.212.244.52,blacklist,206.212.244.52,10,False,,False,,0,25,,blacklist:206.212.244.52,206.212.244.52,False,True,2018-11-21T15:55:19.02,2018-11-21T15:55:19.093,100,https://api.mxtoolbox.com/api/v1/history/c89a583f-42f9-427c-8938-840ba08aa9d2/,BLACKLIST - 206.212.244.52,29 days,31,6ab6d6c8-f557-4830-817d-dbf0743f7264,129485438,60,0,,0,True,,265524,109491,9f68c502-a035-4d94-bca7-ec7b8d3a98e3,True,Default,,,,,-1,,True,,Not Blacklisted,,,,,,,,,,,,,,,,,
de4b3f81-3c97-4e8d-acfc-684740f337b1,blacklist:wkreach.net,blacklist:wkreach.net,blacklist,wkreach.net,10,False,,False,,0,25,,blacklist:wkreach.net,wkreach.net,False,True,2018-12-20T06:29:14.59,2018-12-20T06:29:14.59,100,https://api.mxtoolbox.com/api/v1/history/de4b3f81-3c97-4e8d-acfc-684740f337b1/,blacklist:wkreach.net,4 hrs,31,f4d9645e-f2cf-48c0-852f-c9c0212bb182,129485437,60,0,,0,True,,265524,109491,9f68c502-a035-4d94-bca7-ec7b8d3a98e3,True,Default,,,,,-1,,True,,Not Blacklisted,,,,,,,,,,,,,,,,,
2d9e00d3-96aa-4111-807e-2cb203c831ba,blacklist:70.39.89.31,blacklist:70.39.89.31,blacklist,70.39.89.31,10,False,,False,,0,25,,blacklist:70.39.89.31,70.39.89.31,False,True,2018-12-12T16:04:15.12,2018-12-12T16:04:15.12,92,https://api.mxtoolbox.com/api/v1/history/2d9e00d3-96aa-4111-807e-2cb203c831ba/,BLACKLIST - 70.39.89.31,8 days,31,8aa61359-27be-486e-b27c-283a83e8dcf9,129485436,60,2,,0,True,,265524,109491,9f68c502-a035-4d94-bca7-ec7b8d3a98e3,True,Default,,,,,-1,,True,,BARRACUDA,174,BARRACUDA,"<p>
	Listing in the Barracuda Blacklist could indicate any number of issues that need to be addressed in your network including but not limited to: virus-generated spam, poor server configuration, dynamic IP Addresses previously used by spammers, bulk mail sending that does not comply with the CAN-SPAM Act.</p>
",,,127.0.0.2,Listed,http://barracudacentral.org/rbl/removal-request,False,,,,,,,,
